ID,Book,Authors,Subjects,Bookshelves
43,The Strange Case of Dr. Jekyll and Mr. Hyde,"Stevenson, Robert Louis, 1850-1894",Science fiction; Horror tales; London (England) -- Fiction; Physicians -- Fiction; Psychological fiction; Self-experimentation in medicine -- Fiction; Multiple personality -- Fiction,Precursors of Science Fiction
43,The Strange Case of Dr. Jekyll and Mr. Hyde,"Stevenson, Robert Louis, 1850-1894",Science fiction; Horror tales; London (England) -- Fiction; Physicians -- Fiction; Psychological fiction; Self-experimentation in medicine -- Fiction; Multiple personality -- Fiction,Horror
43,The Strange Case of Dr. Jekyll and Mr. Hyde,"Stevenson, Robert Louis, 1850-1894",Science fiction; Horror tales; London (England) -- Fiction; Physicians -- Fiction; Psychological fiction; Self-experimentation in medicine -- Fiction; Multiple personality -- Fiction,Movie Books
44,The Song of the Lark,"Cather, Willa, 1873-1947",Musical fiction; Young women -- Fiction; Bildungsromans; Chicago (Ill.) -- Fiction; Swedish Americans -- Fiction; Colorado -- Fiction; Opera -- Fiction; Children of clergy -- Fiction; Women singers -- Fiction,Opera
45,Anne of Green Gables,"Montgomery, L. M. (Lucy Maud), 1874-1942","Orphans -- Fiction; Islands -- Fiction; Friendship -- Fiction; Bildungsromans; Girls -- Fiction; Country life -- Prince Edward Island -- Fiction; Prince Edward Island -- History -- 20th century -- Fiction; Canada -- History -- 1867-1914 -- Fiction; Shirley, Anne (Fictitious character) -- Fiction",Children's Literature
45,Anne of Green Gables,"Montgomery, L. M. (Lucy Maud), 1874-1942","Orphans -- Fiction; Islands -- Fiction; Friendship -- Fiction; Bildungsromans; Girls -- Fiction; Country life -- Prince Edward Island -- Fiction; Prince Edward Island -- History -- 20th century -- Fiction; Canada -- History -- 1867-1914 -- Fiction; Shirley, Anne (Fictitious character) -- Fiction",Canada
46,A Christmas Carol in Prose; Being a Ghost Story of Christmas,"Dickens, Charles, 1812-1870; Leech, John, 1817-1864 [Illustrator]","Christmas stories; London (England) -- Fiction; Poor families -- Fiction; Ghost stories; Misers -- Fiction; Sick children -- Fiction; Scrooge, Ebenezer (Fictitious character) -- Fiction",Children's Literature
46,A Christmas Carol in Prose; Being a Ghost Story of Christmas,"Dickens, Charles, 1812-1870; Leech, John, 1817-1864 [Illustrator]","Christmas stories; London (England) -- Fiction; Poor families -- Fiction; Ghost stories; Misers -- Fiction; Sick children -- Fiction; Scrooge, Ebenezer (Fictitious character) -- Fiction",Christmas
47,Anne of Avonlea,"Montgomery, L. M. (Lucy Maud), 1874-1942","Orphans -- Fiction; Islands -- Fiction; Teachers -- Fiction; Prince Edward Island -- History -- 20th century -- Fiction; Canada -- History -- 1914-1945 -- Fiction; Shirley, Anne (Fictitious character) -- Fiction",Children's Literature
47,Anne of Avonlea,"Montgomery, L. M. (Lucy Maud), 1874-1942","Orphans -- Fiction; Islands -- Fiction; Teachers -- Fiction; Prince Edward Island -- History -- 20th century -- Fiction; Canada -- History -- 1914-1945 -- Fiction; Shirley, Anne (Fictitious character) -- Fiction",Canada
48,The 1992 CIA World Factbook,United States. Central Intelligence Agency,"World politics -- Handbooks, manuals, etc.; Geography -- Handbooks, manuals, etc.; Political science -- Handbooks, manuals, etc.; Political statistics -- Handbooks, manuals, etc.",CIA World Factbooks
51,Anne of the Island,"Montgomery, L. M. (Lucy Maud), 1874-1942","Orphans -- Fiction; Prince Edward Island -- History -- 20th century -- Fiction; Interpersonal relations -- Fiction; Canada -- History -- 1914-1945 -- Fiction; Self-perception -- Fiction; Universities and colleges -- Fiction; Nova Scotia -- History -- 20th century -- Fiction; Shirley, Anne (Fictitious character) -- Fiction",Children's Literature
51,Anne of the Island,"Montgomery, L. M. (Lucy Maud), 1874-1942","Orphans -- Fiction; Prince Edward Island -- History -- 20th century -- Fiction; Interpersonal relations -- Fiction; Canada -- History -- 1914-1945 -- Fiction; Self-perception -- Fiction; Universities and colleges -- Fiction; Nova Scotia -- History -- 20th century -- Fiction; Shirley, Anne (Fictitious character) -- Fiction",Canada
54,The Marvelous Land of Oz,"Baum, L. Frank (Lyman Frank), 1856-1919; Neill, John R. (John Rea), 1877-1943 [Illustrator]",Oz (Imaginary place) -- Juvenile fiction; Fantasy literature; Conduct of life -- Juvenile fiction; Friendship -- Juvenile fiction; Voyages and travels -- Juvenile fiction; Magic -- Juvenile fiction; Practical jokes -- Juvenile fiction; Youth -- Conduct of life -- Juvenile fiction; Queens -- Juvenile fiction; Kings and rulers -- Juvenile fiction; Witches -- Juvenile fiction; Women soldiers -- Juvenile fiction,Children's Literature
